UF,RS
Cidade,SANTANA DO LIVRAMENTO
Nome Posto,SANTA RITA
Latitude,-30.51638888888889
Longitude,-55.126666666666665
Codigo,3055005
Qtd. Anos,44
Ano,Maxima
1976,31.7
1977,70
1978,80
1979,76.4
1980,157.6
1981,69.4
1982,143
1983,157
1984,91.4
1985,132.8
1986,84.8
1987,126.6
1988,56.4
1989,54.3
1990,160.5
1991,94.3
1992,176.7
1993,85
1994,90.6
1995,92
1996,140.2
1997,150.3
1998,150
1999,89.7
2000,136.3
2001,140
2002,160.2
2003,120
2004,87.4
2005,80.2
2006,106.1
2007,87.4
2008,108.4
2009,79.5
2010,46.5
2011,102
2012,109.2
2013,132.5
2014,73.9
2015,178.3
2016,81
2017,155.9
2018,137.5
2019,102.1
