UF,RS
Cidade,DOM PEDRITO
Nome Posto,DOM PEDRITO
Latitude,-30.978055555555553
Longitude,-54.67583333333333
Codigo,3054002
Qtd. Anos,81
Ano,Maxima
1934,69.2
1935,53
1936,66
1937,66.5
1938,65
1939,100.9
1940,65
1941,61
1942,62.7
1943,67
1944,76.5
1945,55.5
1946,66
1947,109.2
1948,109.7
1949,102.5
1950,74
1951,119
1952,108
1953,71
1954,80
1955,72
1956,78.5
1957,108
1958,76
1959,193.6
1960,85
1961,136
1962,77.5
1969,88
1970,122.3
1971,64.2
1972,114
1973,130.2
1974,94.2
1975,76
1976,132
1977,76.3
1978,87
1979,70.5
1980,90.8
1981,60.1
1982,113
1983,135
1984,105.3
1985,73.3
1986,136.4
1987,105.4
1988,105.6
1989,60.5
1990,113.6
1991,160
1992,170.1
1993,146
1994,92.4
1995,99.3
1996,58.3
1997,110.3
1998,110.2
1999,70.5
2000,122.2
2001,140.7
2002,86.9
2003,74.5
2004,168.2
2005,91.5
2006,112.3
2007,66.3
2008,61.3
2009,95.2
2010,78.7
2011,85.4
2012,70.4
2013,110.4
2014,90.8
2015,112.4
2016,71.5
2017,123.8
2018,120
2019,134.4
2020,56.5
