UF,RS
Cidade,SAO MIGUEL DAS MISSOES
Nome Posto,COIMBRA
Latitude,-28.78777777777778
Longitude,-54.4525
Codigo,2854012
Qtd. Anos,45
Ano,Maxima
1976,58.4
1977,126
1978,204
1979,150.4
1980,84.2
1981,77.2
1982,190
1983,104.1
1984,90
1985,125
1986,150
1987,134.2
1988,74.6
1989,125
1990,80.5
1991,83
1992,96.2
1993,80.2
1994,85.4
1995,75
1996,120
1997,136
1998,102.2
1999,65.2
2000,90.2
2001,127.4
2002,99.2
2003,120.4
2004,81
2005,93
2006,98.2
2007,68.2
2008,90.6
2009,85.7
2010,120.2
2011,90
2012,80.5
2013,78
2014,117.5
2015,160.1
2016,117.3
2017,100.4
2018,107.3
2019,103.7
2020,61.6
