UF,RS
Cidade,SAO BORJA
Nome Posto,FAZENDA SANTA CECILIA DO BUTUI
Latitude,-28.989722222222223
Longitude,-55.674166666666665
Codigo,2855005
Qtd. Anos,58
Ano,Maxima
1963,56
1964,67
1965,70
1966,110
1967,140.2
1968,98.4
1969,92
1970,93.2
1971,104.3
1972,105.3
1973,75.4
1974,78
1975,135.3
1976,95.2
1977,58
1978,92.6
1979,138
1980,129
1981,55.1
1982,130
1983,151.4
1984,102.5
1985,115.5
1986,142
1987,131.1
1988,95.3
1989,92.3
1990,93.5
1991,118
1992,86.5
1993,90.4
1994,84.4
1995,60.8
1996,95.6
1997,116.6
1998,87.6
1999,73.2
2000,89
2001,95.8
2002,105.1
2003,81.7
2004,65.4
2005,103.7
2006,88.4
2007,70.8
2008,125.9
2009,96.8
2010,113.2
2011,151.3
2012,82.3
2013,80.8
2014,115.2
2015,95.4
2016,80.5
2017,140.3
2018,95.8
2019,82.6
2020,82.4
