UF,RS
Cidade,UNISTALDA
Nome Posto,UNISTALDA
Latitude,-29.047500000000003
Longitude,-55.151111111111106
Codigo,2955007
Qtd. Anos,52
Ano,Maxima
1969,53.6
1970,97.2
1971,88.2
1972,122
1973,103.2
1974,82.8
1975,136.6
1976,122.4
1977,92.2
1978,147.6
1979,131.2
1980,118.2
1981,92.4
1982,140.2
1983,145.4
1984,145.2
1985,139.2
1986,180
1987,175
1988,112.1
1989,107.8
1990,78.7
1991,84.3
1992,120.2
1993,150.3
1994,98.6
1995,94.5
1996,100.4
1997,122.5
1998,110.5
1999,104.3
2000,110.1
2001,172
2002,100.2
2003,158.4
2004,61.7
2005,121.1
2006,104
2007,92.7
2008,82.9
2009,143.1
2010,77.4
2011,75.3
2012,78.5
2013,102.9
2014,115.6
2015,90.8
2016,129.6
2017,108.6
2018,106.9
2019,152.3
2020,91.7
