UF,RS
Cidade,RIO GRANDE
Nome Posto,GRANJA SANTA MARIA
Latitude,-32.53805555555555
Longitude,-52.53861111111111
Codigo,3252008
Qtd. Anos,54
Ano,Maxima
1965,52
1966,126.2
1967,59.2
1968,52.3
1969,83.2
1970,72.1
1971,84
1972,113
1973,83.2
1974,103.2
1975,84.2
1976,201
1977,132.4
1978,96.6
1979,86.4
1980,93.6
1981,78.6
1982,114.3
1983,123.3
1984,96.4
1985,88.6
1986,108.6
1987,125.2
1988,57.4
1989,137.4
1990,109.2
1991,104
1992,76.2
1993,111.4
1994,98.6
1995,120.6
1996,63.2
1997,136.4
1998,101.6
1999,63
2000,78.9
2001,161.6
2002,130.4
2003,83
2004,121
2005,106.6
2006,117.6
2007,107
2008,70.4
2010,69.2
2011,127.2
2012,60.3
2013,102
2014,80
2015,75.2
2016,48
2017,100
2018,88.7
2019,76.7
