UF,RS
Cidade,MONTENEGRO
Nome Posto,PORTO GARIBALDI
Latitude,-29.811666666666667
Longitude,-51.386944444444445
Codigo,2951024
Qtd. Anos,51
Ano,Maxima
1970,92
1971,52.6
1972,111.6
1973,60.4
1974,76.4
1975,54.6
1976,56
1977,84.2
1978,66.2
1979,67.8
1980,105.2
1981,71.4
1982,115.6
1983,93.4
1984,90.4
1985,65.4
1986,80.2
1987,51.4
1988,62.4
1989,100.4
1990,95.4
1991,136.6
1992,91.4
1993,134
1994,105
1995,114.8
1996,112.6
1997,79
1998,48.7
1999,93.2
2000,61.3
2001,90.5
2002,80.5
2003,101.5
2004,67.8
2005,76.8
2006,53.8
2007,64.1
2008,64.6
2009,77.2
2010,46.1
2011,148.3
2012,91.4
2013,174.5
2014,84.3
2015,150.2
2016,113.7
2017,82.3
2018,68.2
2019,83.9
2020,16.8
