UF,RS
Cidade,TIO HUGO
Nome Posto,PCH ERNESTINA JUSANTE
Latitude,-28.56277777777778
Longitude,-52.55361111111111
Codigo,2852030
Qtd. Anos,41
Ano,Maxima
1942,25.4
1943,93.6
1944,115.6
1945,64.8
1946,102.8
1947,128
1948,93.2
1949,90
1950,142.6
1951,87.4
1952,88.2
1953,117.8
1954,76.6
1955,81.4
1956,139
1957,101
1958,87.6
1959,109
1960,78
1961,64.2
1962,59.6
1963,65.8
1964,61
1965,161.8
1966,130.8
1967,91
1968,90.3
1969,86.2
1970,103.4
1971,137.2
1972,92.2
1973,71
1974,76.4
1975,78.6
1976,73.4
1977,87.9
1978,101.6
1979,79.6
1980,67.8
1981,83
1982,91
