UF,RS
Cidade,SAO JERONIMO
Nome Posto,QUITERIA
Latitude,-30.41888888888889
Longitude,-52.07361111111111
Codigo,3052011
Qtd. Anos,52
Ano,Maxima
1969,38.8
1970,88.1
1971,115.6
1972,166.2
1973,73
1974,66.4
1975,79.2
1976,55.6
1977,85.1
1978,115.8
1979,84.1
1980,93.2
1981,74.3
1982,94.2
1983,90.6
1984,150.1
1985,80
1986,91.2
1987,85.4
1988,58.4
1989,70.1
1990,92.4
1991,69.6
1992,109.1
1993,117.2
1994,76.6
1995,84.8
1996,60.8
1997,110.8
1998,70.8
1999,87.8
2000,82.8
2001,79.5
2002,82.5
2003,82.2
2004,91.8
2005,86.2
2006,60.2
2007,55.3
2008,61.4
2009,67.6
2010,58.2
2011,130.3
2012,85.4
2013,98.9
2014,112.9
2015,104.2
2016,78.4
2017,105.6
2018,70.5
2019,78.7
2020,39.7
