UF,RS
Cidade,CAXIAS DO SUL
Nome Posto,NOVA PALMIRA
Latitude,-29.334999999999997
Longitude,-51.19027777777777
Codigo,2951022
Qtd. Anos,78
Ano,Maxima
1943,87.9
1944,83.6
1945,70.4
1946,61.2
1947,82.2
1948,51.4
1949,53
1950,66.2
1951,68.7
1952,63.7
1953,90.4
1954,87.4
1955,77.5
1956,123.4
1957,65.4
1958,71.3
1959,68.4
1960,77.2
1961,65.4
1962,58.7
1963,104
1964,76.4
1965,72.3
1966,143
1967,81.4
1968,58.5
1969,66.3
1970,82.1
1971,82.4
1972,95.4
1973,85.4
1974,72.4
1975,96.7
1976,72.5
1977,91.6
1978,102.7
1979,73.6
1980,149.6
1981,91.4
1982,168.7
1983,78.3
1984,92.2
1985,87.8
1986,121.3
1987,75.3
1988,102
1989,60.5
1990,121.3
1991,91
1992,129
1993,65.3
1994,106
1995,75.2
1996,68.3
1997,72.1
1998,84
1999,93.1
2000,102.5
2001,93.1
2002,71.2
2003,132.9
2004,73.9
2005,64.3
2006,83.1
2007,92.9
2008,107.9
2009,56.7
2010,62.2
2011,119.3
2012,97.1
2013,119.3
2014,62.9
2015,78.6
2016,114.2
2017,110
2018,69.9
2019,112.1
2020,27.7
