UF,RS
Cidade,SAO SEPE
Nome Posto,SAO SEPE MONTANTE
Latitude,-30.19361111111111
Longitude,-53.56444444444444
Codigo,3053020
Qtd. Anos,37
Ano,Maxima
1984,41
1985,99.7
1986,96.7
1987,78.1
1988,89.8
1989,68.8
1990,117.6
1991,92.8
1992,223.2
1993,117.8
1994,123.9
1995,73.1
1996,111.2
1997,104.3
1998,119.3
1999,123.7
2000,91.1
2001,133.7
2002,158.9
2003,169.5
2004,92.1
2005,80.8
2006,128.4
2007,85.4
2008,97.8
2009,109.6
2010,81.8
2011,65.2
2012,78.6
2013,145.6
2014,126.8
2015,133.8
2016,80.2
2017,72
2018,92.9
2019,98.8
2020,82.8
