UF,RS
Cidade,CAXIAS DO SUL
Nome Posto,SECA
Latitude,-29.071944444444444
Longitude,-50.973888888888894
Codigo,2950033
Qtd. Anos,74
Ano,Maxima
1944,47
1945,75.2
1946,113.6
1947,98.2
1948,75.8
1949,75
1950,50.8
1951,47.3
1952,58.2
1953,88.4
1954,78.1
1955,68.1
1956,167.2
1957,86
1958,63
1959,85.4
1960,65
1961,70.2
1962,92
1963,77.2
1964,87.2
1965,62.4
1966,85.3
1967,99.1
1968,55.4
1969,60.1
1970,85.2
1971,95
1972,70
1973,93
1974,68
1975,73
1976,63.5
1977,69.7
1978,74
1979,51.5
1980,58.7
1981,75.5
1982,130.9
1983,98.5
1984,77.5
1985,57.3
1986,112
1987,75.3
1988,91.5
1989,87.8
1990,97.2
1991,76.5
1992,86.8
1993,72.6
1994,72.5
1995,75.2
1996,65.1
1997,69.8
1998,89.5
1999,64.1
2000,69.9
2001,105.5
2002,78.2
2003,159.3
2004,56.1
2005,72.8
2006,118.4
2007,106.3
2008,103.7
2009,80.8
2010,95.2
2011,108.2
2012,158.8
2016,130.2
2017,82.5
2018,65.8
2019,87.7
2020,58.2
