UF,RS
Cidade,CACEQUI
Nome Posto,SAICA
Latitude,-30.029444444444444
Longitude,-55.093611111111116
Codigo,3055004
Qtd. Anos,45
Ano,Maxima
1976,69.4
1977,121.8
1978,111
1979,140
1980,96.6
1981,77.4
1982,146
1983,102
1984,121
1985,150
1986,136.4
1987,195
1988,91
1989,65.4
1990,96
1991,211.4
1992,358
1993,172.3
1994,115
1995,84
1996,117.1
1997,150
1998,152.7
1999,99.8
2000,74.3
2001,80
2002,185
2003,137.4
2004,95.2
2005,128.5
2006,75
2007,95
2008,113
2009,138.9
2010,169.7
2011,120
2012,97
2013,198.2
2014,110.7
2015,95.6
2016,87.2
2017,102.3
2018,142
2019,136.7
2020,49.5
