UF,RS
Cidade,ENCANTADO
Nome Posto,ENCANTADO
Latitude,-29.23777777777778
Longitude,-51.85944444444445
Codigo,2951010
Qtd. Anos,77
Ano,Maxima
1943,93.2
1944,102.1
1945,106.4
1946,69.2
1947,68
1948,51.2
1949,68.1
1950,68.2
1951,92
1952,52.3
1953,84
1954,52.3
1955,42.1
1956,64.1
1957,81
1958,58
1959,135
1960,60.9
1961,27.2
1962,101.8
1963,61.1
1964,60.4
1965,85.3
1966,91
1967,72.6
1968,63.3
1969,87
1970,75.3
1971,109
1972,85
1973,89
1974,77
1975,75
1976,58
1977,75
1978,44.6
1979,76.2
1980,76.2
1981,79.5
1982,100.5
1983,78.5
1984,64.3
1985,55.8
1986,120
1987,33
1988,83.2
1989,91
1990,38.5
1991,73.4
1992,50.3
1993,126
1994,80.8
1995,48
1996,61.8
1997,72.1
1998,65
1999,84.3
2000,98
2001,104.3
2002,103.2
2003,100.2
2004,53.2
2005,68.4
2006,88
2007,80
2008,108.4
2009,99.5
2010,72.9
2011,117.4
2012,115.6
2013,64.5
2014,89.1
2015,111.3
2016,107.8
2017,73.2
2018,120
2019,56.5
