UF,RS
Cidade,DONA FRANCISCA
Nome Posto,DONA FRANCISCA
Latitude,-29.624444444444446
Longitude,-53.35194444444445
Codigo,2953008
Qtd. Anos,77
Ano,Maxima
1943,101.5
1944,161
1945,93.2
1946,125
1947,122.1
1948,81.5
1949,122
1950,125
1951,96
1952,122.5
1953,128
1954,163.4
1955,110.2
1956,128
1957,115.1
1959,120.1
1960,78.2
1961,98
1962,52.2
1963,73
1964,66.3
1965,143.2
1966,109.2
1967,105.3
1968,74.3
1969,88.2
1970,54.4
1971,106.4
1972,97
1973,142.3
1974,102
1975,92.4
1976,75.6
1977,74
1978,73.2
1979,74
1980,130.6
1981,133
1982,100.9
1983,85.2
1984,150
1985,96.4
1986,110
1987,107.6
1988,87.4
1989,82.4
1990,87.4
1991,164.8
1992,79.2
1993,76.4
1994,114.2
1995,79.4
1996,118.4
1997,86.2
1998,75.2
1999,76.5
2000,66.5
2001,86.4
2002,85.5
2003,128.8
2004,89.8
2005,107.8
2006,62.3
2007,90.3
2008,118.6
2009,75.6
2010,70.8
2011,112
2012,106.8
2013,112.6
2014,93.8
2015,187.8
2016,103.8
2017,109.7
2018,107.8
2019,77
2020,50.6
