UF,RS
Cidade,SAO MIGUEL DAS MISSOES
Nome Posto,PASSO MAJOR ZEFERINO
Latitude,-28.733611111111113
Longitude,-54.647777777777776
Codigo,2854005
Qtd. Anos,63
Ano,Maxima
1957,142.4
1958,89.8
1959,112.4
1960,105.5
1961,138
1962,87.4
1963,164
1964,87.3
1965,135
1966,67.4
1967,92.9
1968,101.6
1969,59.3
1970,85.2
1971,75.2
1972,105.2
1973,84.2
1974,102.5
1975,80.4
1976,75.4
1977,100.4
1978,151.2
1979,133.4
1980,110.4
1981,107.4
1982,121.1
1983,100.2
1984,88.2
1985,131.8
1986,67.2
1987,127
1988,62.8
1989,111.8
1990,90
1991,64.4
1992,62.6
1993,119.8
1994,110.4
1995,83
1996,121.8
1997,141
1998,86.4
1999,57
2000,108
2001,122.6
2002,102.9
2003,109
2004,91.7
2005,106.1
2006,91.4
2007,79.2
2008,82.6
2009,51.5
2010,126.6
2011,86
2012,90.1
2013,75.7
2014,111.4
2015,171
2016,103
2017,113.3
2018,104.5
2019,107
