UF,RS
Cidade,ILOPOLIS
Nome Posto,ILOPOLIS
Latitude,-28.928333333333335
Longitude,-52.1275
Codigo,2852014
Qtd. Anos,72
Ano,Maxima
1944,80.6
1945,57
1946,100
1947,96.4
1948,91.2
1951,63.3
1952,62.2
1953,100
1954,80.2
1955,101.2
1956,161.3
1957,103.2
1958,88
1959,102.1
1960,70
1961,76.4
1962,46.2
1963,120.2
1964,55.3
1965,101.2
1966,128.4
1967,86.4
1968,59.8
1969,76.2
1970,93.2
1971,135.9
1972,138.8
1973,106.5
1974,120.3
1975,110.6
1976,87.2
1977,126.2
1978,80.4
1979,91.2
1980,94.2
1981,87.2
1982,135.2
1983,94.4
1984,134.2
1985,62.2
1986,108.3
1987,97.5
1988,100.4
1989,98.7
1990,106.2
1991,101.2
1992,65.2
1993,75
1994,81.6
1995,48.2
1996,109.2
1997,133.6
1998,97.2
1999,76.6
2000,97.8
2001,101.6
2002,88.6
2003,169.9
2004,79.1
2005,65.6
2006,82.5
2007,111.6
2008,154.1
2009,96
2010,135.2
2011,121.5
2012,114.2
2016,114.1
2017,104.1
2018,107.5
2019,77.7
2020,37.6
