UF,RS
Cidade,ENCRUZILHADA DO SUL
Nome Posto,PASSO DA GUARDA CEEE
Latitude,-30.906388888888888
Longitude,-52.46194444444445
Codigo,3052007
Qtd. Anos,72
Ano,Maxima
1944,75.5
1945,54
1946,68
1947,86
1948,64
1949,55.2
1950,68.4
1951,58.3
1952,66
1953,96.2
1954,84.2
1955,83.2
1956,54
1957,63.2
1958,78.3
1959,87.2
1960,75
1961,78
1962,68
1963,85
1964,65.2
1965,98.2
1966,85
1967,59.1
1968,103.1
1969,65
1970,87.2
1971,67
1972,84.3
1975,131
1976,87.2
1977,130
1978,75.3
1979,95
1980,58
1981,72.5
1982,67
1983,94.5
1984,79.3
1985,74.2
1986,162
1987,86.3
1988,88.5
1989,90.3
1990,97.4
1991,78.4
1992,100.6
1993,70.8
1994,80.5
1995,78.4
1996,76.3
1997,100
1998,97.3
1999,56.7
2000,85.6
2001,108.6
2002,162.2
2003,110
2004,67.3
2005,107
2006,60.7
2007,54.5
2008,65.4
2009,107.3
2010,47.4
2011,139.4
2012,112
2016,82.3
2017,127.7
2018,81.3
2019,67.4
2020,106.5
