UF,RS
Cidade,SANANDUVA
Nome Posto,SANANDUVA
Latitude,-27.982777777777777
Longitude,-51.78361111111111
Codigo,2751007
Qtd. Anos,64
Ano,Maxima
1957,80.2
1958,85.1
1959,175.4
1960,73.9
1961,110.1
1962,101.3
1963,151.3
1964,89.8
1965,136.4
1966,93.5
1967,92.4
1968,81.2
1969,89.4
1970,105.4
1971,90.1
1972,110.2
1973,81.8
1974,85.4
1975,73.3
1976,70.5
1977,76.6
1978,84.6
1979,84.2
1980,87.5
1981,75.5
1982,134.9
1983,100.4
1984,109.8
1985,122.4
1986,59.2
1987,118.3
1988,90.5
1989,96
1990,113.8
1991,54.9
1992,149.8
1993,147.4
1994,89.8
1995,68.5
1996,71
1997,105.6
1998,90.8
1999,101.7
2000,68.1
2001,140.8
2002,86.9
2003,73
2004,95.6
2005,112
2006,84
2007,68.6
2008,59.2
2009,76
2010,89.4
2011,94.4
2012,85.9
2013,92.5
2014,112.3
2015,151.1
2016,129.9
2017,81.5
2018,95.4
2019,63.8
2020,125.7
