UF,RJ
Cidade,TRAJANO DE MORAIS
Nome Posto,LEITAO DA CUNHA
Latitude,-22.04277777777778
Longitude,-42.04416666666666
Codigo,2242001
Qtd. Anos,56
Ano,Maxima
1965,50
1966,100.6
1967,78.4
1968,75.6
1969,92.6
1970,55.2
1971,109.1
1972,94.6
1973,75.8
1974,69.6
1975,72.4
1976,77.2
1977,71.2
1978,72.1
1979,96
1980,93
1981,89
1982,66
1983,139
1984,70
1985,90
1986,154
1987,190
1988,60
1989,100
1990,66
1991,66.6
1992,70.6
1993,43.5
1994,60
1995,100.1
1996,96.6
1997,70.9
1998,75.1
1999,67.7
2000,54.8
2001,76.1
2002,90.8
2003,111.4
2004,84.1
2005,87.1
2006,70.1
2007,99
2008,120.1
2009,138.9
2010,115.6
2011,60.9
2012,137.8
2013,105.8
2014,56.7
2015,59.9
2016,114.1
2017,80.1
2018,154
2019,95.1
2020,49.4
