UF,RJ
Cidade,NOVA FRIBURGO
Nome Posto,FAZENDA MENDES
Latitude,-22.285833333333336
Longitude,-42.66
Codigo,2242022
Qtd. Anos,72
Ano,Maxima
1949,36.2
1950,59.6
1951,70
1952,94.2
1953,74
1954,42
1955,72.4
1956,78
1957,78.4
1958,67.2
1959,67.4
1960,68.6
1961,63.4
1962,50.8
1963,70.4
1964,125.4
1965,68.4
1966,100.7
1967,95.4
1968,68.4
1969,73
1970,98.6
1971,53
1972,74.6
1973,80.6
1974,56
1975,99
1976,72.8
1977,97
1978,100
1979,66
1980,25.8
1981,34.2
1982,52
1983,75.2
1984,30.9
1985,31
1986,32.5
1987,42
1988,81.6
1989,70.8
1990,51.9
1991,90
1992,74.1
1993,54
1994,51.1
1995,54.4
1996,61.3
1997,83.3
1998,86.4
1999,57.7
2000,103.2
2001,93.6
2002,114.1
2003,83.6
2004,81.6
2005,116.5
2006,46.1
2007,120.1
2008,58.6
2009,97.5
2010,109.5
2011,225.4
2012,170.6
2013,52
2014,52.4
2015,56.8
2016,100.6
2017,51.3
2018,46.5
2019,58.7
2020,89.4
