UF,RJ
Cidade,NOVA FRIBURGO
Nome Posto,PILLER
Latitude,-22.404722222222222
Longitude,-42.33916666666667
Codigo,2242003
Qtd. Anos,71
Ano,Maxima
1950,77
1951,131
1952,137.3
1953,139.5
1954,154.1
1955,126
1956,99.5
1957,122.5
1958,104.2
1959,94
1960,150
1961,101.9
1962,150
1963,135.2
1964,152
1965,146.9
1966,240.6
1967,340.4
1968,100.5
1969,619.2
1970,85.2
1971,212.6
1972,117
1973,145.6
1974,102.4
1975,94.8
1976,128.4
1977,130
1978,81.6
1979,136.4
1980,125.3
1981,124.3
1982,93.2
1983,150.7
1984,109.9
1985,98.6
1986,64.6
1987,58.6
1988,58.8
1989,124.1
1990,99.8
1991,99.8
1992,142.5
1993,97.6
1994,140.2
1995,125.5
1996,105.2
1997,98.6
1998,152.7
1999,68.3
2000,111.2
2001,93.5
2002,97.5
2003,147.7
2004,180.2
2005,142.3
2006,196.2
2007,125.3
2008,128.7
2009,468.5
2010,144.6
2011,58.4
2012,88.3
2013,180.4
2014,82.4
2015,98.8
2016,84.8
2017,68.4
2018,110
2019,28.8
2020,32.8
