UF,RJ
Cidade,CABO FRIO
Nome Posto,CABO FRIO (ALCALIS)
Latitude,-22.883333333333333
Longitude,-42.03333333333333
Codigo,2242067
Qtd. Anos,39
Ano,Maxima
1941,68.6
1942,59.6
1943,40.6
1944,89.1
1945,45.8
1946,39.8
1947,53.6
1948,43.2
1949,83.4
1950,108
1951,30.2
1952,51.2
1953,69.4
1954,63.8
1955,58.8
1956,76.2
1957,71.2
1958,68.7
1959,72.4
1960,24.1
1961,52.9
1962,136
1963,115.6
1964,96.2
1965,186
1966,107.4
1967,72.2
1968,38.8
1969,34.2
1975,97.2
1976,81.5
1977,61.2
1978,44.4
1979,8.9
1982,22.3
1983,43.1
1986,42.9
1987,138
1993,69.4
