UF,RJ
Cidade,PARATI
Nome Posto,PARATI
Latitude,-23.224166666666665
Longitude,-44.76416666666667
Codigo,2344007
Qtd. Anos,59
Ano,Maxima
1962,167
1963,158
1964,74
1965,111.4
1966,227
1967,142.8
1968,95.8
1969,106.2
1970,110.1
1971,228.4
1972,60.5
1973,149.2
1974,73.2
1975,82.2
1976,82.6
1977,71.4
1978,84.2
1979,78.6
1980,81.4
1981,96.2
1982,50.8
1983,62
1984,45.6
1985,116
1986,106.6
1987,69.8
1988,106.9
1989,92.8
1990,185.2
1991,100
1992,59.9
1993,61.6
1994,146.4
1995,56.4
1996,72.4
1997,26.4
1998,40.2
1999,38.8
2000,80.2
2001,66.5
2002,203.9
2003,205.7
2004,142.3
2005,179.6
2006,61.2
2007,99.6
2008,81.6
2009,180.6
2010,120.3
2011,75.6
2012,53.6
2013,36.6
2014,41.2
2015,41
2016,96
2017,50.6
2018,50.5
2019,50.3
2020,30.8
