UF,RJ
Cidade,NOVA FRIBURGO
Nome Posto,GALDINOPOLIS
Latitude,-22.363055555555558
Longitude,-42.380833333333335
Codigo,2242004
Qtd. Anos,71
Ano,Maxima
1950,102
1951,88.4
1952,175
1953,76.2
1954,95.4
1955,121.3
1956,110.2
1957,114.4
1958,121.3
1959,93.1
1960,115
1961,152.1
1962,94
1963,134.2
1964,86.4
1965,96.5
1966,112
1967,92.3
1968,85
1969,87
1970,69.8
1971,154.3
1972,72.1
1973,132.2
1974,78.5
1975,86.8
1976,98.6
1977,68.2
1978,96.8
1979,146.8
1980,131.2
1981,163.8
1982,75.2
1983,112.4
1984,81.2
1985,72.4
1986,83.2
1987,112.8
1988,78.4
1989,129.4
1990,85.4
1991,116.2
1992,75
1993,73.2
1994,125
1995,81.6
1996,79.2
1997,105.6
1998,109
1999,76.3
2000,90.5
2001,64.2
2002,88.9
2003,76.2
2004,98
2005,110.3
2006,117.7
2007,83.4
2008,76.6
2009,128.6
2010,116.1
2011,113.4
2012,96.6
2013,104.9
2014,49.3
2015,90.1
2016,121
2017,70.1
2018,133.6
2019,77.7
2020,61.7
