UF,RJ
Cidade,CAMPO DOS GOYTACAZES
Nome Posto,FAROL DE SAO TOME
Latitude,-22.0425
Longitude,-41.05555555555555
Codigo,2241001
Qtd. Anos,55
Ano,Maxima
1966,4.6
1967,72
1968,50
1969,66
1970,43
1971,106.2
1972,36.8
1973,96.2
1974,54.6
1975,44.4
1976,51.2
1977,50
1978,50.6
1979,108.8
1980,69
1981,82.4
1982,62.2
1983,132.6
1984,137.4
1985,254
1986,160
1987,70.7
1988,50
1989,83
1990,67
1991,120
1992,87
1993,47
1994,52.7
1995,57.4
1996,76.9
1997,49
1998,58.2
1999,33.4
2000,60.6
2001,45.6
2002,46
2003,45.5
2004,70.6
2005,170
2006,93.1
2007,65.2
2008,83
2009,182.7
2010,56.1
2011,129
2012,57
2013,46
2014,42.5
2015,30
2016,70.3
2017,67.7
2018,90
2019,36.6
2020,44.7
