UF,RJ
Cidade,CONCEICAO DE MACABU
Nome Posto,MACABUZINHO
Latitude,-22.08611111111111
Longitude,-41.73972222222222
Codigo,2241003
Qtd. Anos,78
Ano,Maxima
1943,65.7
1944,96
1945,51.2
1946,71.5
1947,75
1948,116.8
1949,132
1950,128
1951,64.2
1952,70
1953,104.7
1954,65.1
1955,59.4
1956,94.2
1957,78.6
1958,82.2
1959,135.6
1960,86.8
1961,78.2
1962,79.8
1963,47.4
1964,52.6
1965,64
1966,97.8
1967,85.2
1968,52.2
1969,48
1970,64
1971,100
1972,96.4
1973,100
1974,75
1975,100
1976,100.9
1977,56.2
1978,40
1979,90
1980,53
1981,58.2
1982,47
1983,93.2
1984,90
1985,63.6
1986,106
1987,87.8
1988,89.3
1989,83
1990,39.7
1991,73.4
1992,100
1993,98.4
1994,74.2
1995,67.3
1996,76.7
1997,178.7
1998,190.9
1999,53
2000,97.3
2001,75.6
2002,40.2
2003,63.2
2004,68.7
2005,172.1
2006,77.7
2007,128.3
2008,151.7
2009,156.3
2010,177.5
2011,92.3
2012,98.3
2013,92.3
2014,62.9
2015,67.2
2016,79.3
2017,40
2018,310
2019,66.3
2020,61
