UF,RJ
Cidade,BARRA DO PIRAI
Nome Posto,BARRA DO PIRAI
Latitude,-22.450555555555553
Longitude,-43.797777777777775
Codigo,2243002
Qtd. Anos,68
Ano,Maxima
1943,39.4
1944,66
1945,93.2
1946,85.6
1947,101.2
1948,78.6
1949,81.2
1950,71.2
1951,57.4
1952,113.4
1953,49.2
1954,67
1955,59.8
1956,120
1957,72.2
1958,62
1959,82.4
1960,85.4
1961,76.3
1962,82.7
1963,71.4
1964,95.6
1965,78.4
1966,155.8
1967,108
1968,159.6
1969,96.4
1970,47.4
1971,62.4
1972,65.1
1973,68.1
1974,71.2
1975,33.4
1976,52
1977,49
1978,99.9
1979,48
1980,63
1981,66
1983,86
1984,69
1985,68
1986,46
1988,44
1989,777.7
1990,58
1991,75.6
1992,73
1993,62
1994,45.5
1995,104.7
2004,47.2
2005,47.3
2006,44
2007,44.9
2008,54
2009,61.2
2010,61.9
2011,68.3
2012,38.2
2013,54.3
2014,39.4
2015,121.2
2016,89.1
2017,83.9
2018,45.1
2019,81
2020,48.7
