UF,RJ
Cidade,BOM JARDIM
Nome Posto,VARGEM ALTA
Latitude,-22.299444444444447
Longitude,-42.401111111111106
Codigo,2242019
Qtd. Anos,55
Ano,Maxima
1965,57.2
1966,107
1967,113.4
1968,82.6
1969,73.4
1970,62.8
1971,83.8
1972,77.8
1973,82.4
1974,63.4
1975,69
1976,76.4
1977,84
1978,98.4
1979,152.6
1980,80.4
1981,100
1982,8.4
1983,18.4
1984,4.6
1985,50.9
1986,74.4
1987,87.8
1988,65.7
1989,99.5
1990,103
1991,126.2
1992,97.8
1993,65.3
1994,83
1995,97
1996,83.2
1997,94.4
1998,75.8
1999,88.3
2000,87.8
2001,63.6
2002,97.8
2003,87.2
2004,77.7
2005,88.6
2006,85.2
2007,107.9
2008,94.7
2009,142.3
2010,84.3
2011,271.5
2012,101.7
2013,85
2014,88.7
2015,60.7
2016,91.8
2017,64.3
2018,107.4
2019,46.5
