UF,RJ
Cidade,CAMBUCI
Nome Posto,TRES IRMAOS
Latitude,-21.62527777777778
Longitude,-41.98527777777778
Codigo,2141007
Qtd. Anos,78
Ano,Maxima
1943,42.6
1944,94
1945,78.2
1946,66.2
1947,58.4
1948,62
1949,76
1950,87
1951,102.6
1952,68.2
1953,57.6
1954,58.2
1955,77.2
1956,57.4
1957,82.6
1958,87.8
1959,75.2
1960,77.4
1961,79.4
1962,54.1
1963,74.2
1964,105.8
1965,90.6
1966,91.2
1967,84.6
1968,56.4
1969,97.6
1970,70.8
1971,94.4
1972,61
1973,73.8
1974,44.6
1975,71.2
1976,131.2
1977,79.6
1978,65.2
1979,86.2
1980,90.8
1981,66.8
1982,85.2
1983,80.4
1984,82.4
1985,74.6
1986,56.2
1987,78.4
1988,72
1989,72
1990,44.6
1991,72.2
1992,82.1
1993,88.2
1994,47
1995,69.4
1996,57
1997,85.3
1998,146
1999,104.3
2000,62.2
2001,49.7
2002,97.7
2003,106.3
2004,115.2
2005,84.2
2006,57.9
2007,89.5
2008,85.2
2009,70.4
2010,76.9
2011,53.7
2012,68.3
2013,82.3
2014,142.9
2015,43.8
2016,70.6
2017,67.5
2018,81.5
2019,74
2020,47
