UF,RJ
Cidade,RIO DE JANEIRO
Nome Posto,ALTO DA BOA VISTA 
Latitude,-22.95
Longitude,-43.266666666666666
Codigo,2243149
Qtd. Anos,47
Ano,Maxima
1966,112.6
1967,177
1968,130.1
1969,131.2
1970,96.4
1971,284
1972,119.4
1973,176.1
1974,93.3
1975,133.5
1976,106
1977,98.2
1978,90.1
1979,162
1980,150
1981,230
1982,104
1983,120
1984,93.8
1985,136.8
1986,124.9
1987,167.3
1988,125.2
1989,100.4
1990,37.2
1991,105
1992,159
1993,92.1
1994,156.9
1995,119.3
1996,201.2
1997,58.1
1998,327.2
1999,106.2
2000,109.6
2001,285
2002,182.3
2003,140
2004,226.2
2005,114.7
2006,221.2
2007,223.8
2008,134.2
2009,169.4
2010,204.8
2011,186.2
2012,130
