UF,RJ
Cidade,BARRA MANSA
Nome Posto,RIALTO
Latitude,-22.58138888888889
Longitude,-44.268055555555556
Codigo,2244043
Qtd. Anos,56
Ano,Maxima
1951,35.2
1952,74.6
1953,53
1954,85
1955,91.3
1956,80.1
1957,53.8
1958,92.6
1959,59.8
1960,66
1961,87
1962,80.4
1963,66.6
1964,73.4
1965,66.4
1966,64.8
1967,61.8
1968,51.8
1969,59
1970,51
1971,51.2
1972,78.8
1973,84.4
1974,50.2
1975,96
1976,91
1977,83.2
1978,100.4
1979,59.4
1980,59.4
1981,71.8
1982,77.2
1996,61.3
1997,102.1
1998,64.2
1999,81.3
2000,139.4
2001,51.7
2002,79.1
2003,69
2004,56.5
2005,61.3
2006,45.7
2007,38.3
2008,49.5
2009,75.7
2010,58.3
2011,39.4
2012,51.7
2013,83.7
2014,91
2015,65.1
2016,87
2017,70
2018,67
2019,135.1
