UF,RJ
Cidade,RESENDE
Nome Posto,FUMACA
Latitude,-22.297500000000003
Longitude,-44.31055555555555
Codigo,2244037
Qtd. Anos,74
Ano,Maxima
1947,30.6
1948,82.8
1949,90.4
1950,82.4
1951,80.6
1952,124.2
1953,73.8
1954,86.4
1955,63.2
1956,117
1957,75.4
1958,139.8
1959,75
1960,167.6
1961,94.6
1962,123.8
1963,50.1
1964,68.6
1965,84.2
1966,93.6
1967,143.2
1968,86.2
1969,112
1970,63
1971,67.8
1972,75.2
1973,138.1
1974,124.4
1975,212.2
1976,162.2
1977,78.2
1978,74
1979,117.2
1980,50.8
1981,102.8
1982,144.8
1983,144.8
1984,71.8
1985,140.4
1986,101.6
1987,133
1988,134
1989,75.9
1990,90.6
1991,90
1992,89
1993,60.3
1994,79.7
1995,124.3
1996,127.8
1997,103.7
1998,64.8
1999,124.2
2000,114.8
2001,73
2002,64.8
2003,74.2
2004,77.5
2005,116.1
2006,76.4
2007,76.3
2008,82.2
2009,119.1
2010,91.6
2011,74.3
2012,122.5
2013,91.4
2014,80.7
2015,56
2016,111.5
2017,113.9
2018,94.3
2019,63.3
2020,94.4
