UF,RJ
Cidade,CACHOEIRAS DE MACACU
Nome Posto,FAZENDA SAO JOAQUIM
Latitude,-22.441111111111113
Longitude,-42.621944444444445
Codigo,2242016
Qtd. Anos,54
Ano,Maxima
1967,91.4
1968,144
1969,92.4
1970,145
1971,137
1972,109.6
1973,126
1974,137
1975,82
1976,93.6
1977,125
1978,132
1979,100.6
1980,70.4
1981,60.2
1982,110.6
1983,81.4
1984,55.4
1985,62.4
1986,72.6
1987,72.4
1988,65
1989,140
1990,141.2
1991,143.1
1992,60.9
1993,61.2
1994,72.6
1995,36.1
1996,96.1
1997,98.1
1998,148.2
1999,106.8
2000,122.3
2001,90.8
2002,76.2
2003,132.1
2004,190.9
2005,126.3
2006,123.9
2007,145.8
2008,143.1
2009,223.9
2010,140.6
2011,117.3
2012,138.3
2013,127.9
2014,130.7
2015,80.2
2016,195.8
2017,110.3
2018,144.5
2019,80.2
2020,91.2
