UF,RJ
Cidade,NOVA FRIBURGO
Nome Posto,VARGEM GRANDE
Latitude,-22.27611111111111
Longitude,-42.50388888888889
Codigo,2242020
Qtd. Anos,55
Ano,Maxima
1965,70.4
1966,113.6
1967,94.2
1968,80.2
1969,61.2
1970,92.2
1971,83.4
1972,90.2
1973,75.1
1974,75
1975,53.4
1976,41
1977,78
1978,76
1979,77.2
1980,82.2
1981,60.8
1982,52
1983,60
1984,50
1985,88
1986,69.8
1987,60
1988,50
1989,777.7
1990,52.5
1991,133.7
1992,88.2
1993,39.5
1994,69.6
1995,50.5
1996,80.7
1997,83.3
1998,72.3
1999,76.9
2000,79.2
2001,95
2002,97.5
2003,65.3
2004,61.5
2005,116.5
2006,85.7
2007,162.3
2008,92.1
2009,135
2010,61.8
2011,183.5
2012,81.5
2013,54.7
2014,78.3
2015,60.9
2016,94.7
2017,69
2018,110
2019,60.4
