UF,RJ
Cidade,NOVA FRIBURGO
Nome Posto,CASCATINHA DO CONEGO
Latitude,-22.342499999999998
Longitude,-42.55722222222222
Codigo,2242025
Qtd. Anos,54
Ano,Maxima
1967,64
1968,102
1969,78
1970,75
1971,32
1972,44.6
1973,35.4
1974,32.2
1975,60.2
1976,34.2
1977,62.8
1978,112.2
1979,70.2
1980,99.6
1981,90.2
1982,112.8
1983,83
1984,67.2
1985,113.4
1986,121.5
1987,65.5
1988,77.4
1989,82.6
1990,78
1991,100.8
1992,141.8
1993,72.4
1994,92.4
1995,85.8
1996,90.8
1997,80.4
1998,134
1999,100.8
2000,131.5
2001,81.5
2002,122.9
2003,53.3
2004,96
2005,69.8
2006,59.1
2007,99.6
2008,61.1
2009,84.1
2010,67.8
2011,88.4
2012,96.1
2013,160.3
2014,82.5
2015,52.9
2016,79.3
2017,72.3
2018,68.3
2019,37.3
2020,52
