UF,RJ
Cidade,VALENCA
Nome Posto,CONSERVATORIA
Latitude,-22.2875
Longitude,-43.92944444444444
Codigo,2243004
Qtd. Anos,76
Ano,Maxima
1945,66.8
1946,63.5
1947,143.9
1948,64.8
1949,53.1
1950,78.3
1951,102.4
1952,57.5
1953,65.5
1954,45.8
1955,37.8
1956,60.4
1957,60.7
1958,54.5
1959,70
1960,80.7
1961,131
1962,97
1963,60.3
1964,52.1
1965,60.2
1966,78.2
1967,81.3
1968,60.4
1969,70.2
1970,44
1971,65.4
1972,63.4
1973,87.7
1974,57.3
1975,95.3
1976,56.2
1977,96.4
1978,60.3
1979,112.2
1980,68.1
1981,67.2
1982,74.3
1983,81.2
1984,47
1985,116.4
1986,101.4
1987,70
1988,104
1989,82
1990,57
1991,59.1
1992,77
1993,106.2
1994,67.2
1995,65
1996,70
1997,58.2
1998,54.1
1999,111.1
2000,76.3
2001,119.4
2002,81.9
2003,91.7
2004,60.9
2005,93.1
2006,56.3
2007,80.8
2008,82.3
2009,83.7
2010,84.2
2011,113.5
2012,74
2013,63.5
2014,77.9
2015,58
2016,60.9
2017,71.3
2018,71.7
2019,95.5
2020,69.4
