UF,RJ
Cidade,MARICA
Nome Posto,MANUEL RIBEIRO
Latitude,-22.90611111111111
Longitude,-42.731944444444444
Codigo,2242010
Qtd. Anos,54
Ano,Maxima
1967,94.4
1968,73
1969,87
1970,74
1971,232
1972,57
1973,51
1974,66
1975,98
1976,61
1977,97
1978,58
1979,180
1980,54
1981,94
1982,59.6
1983,130
1984,48
1985,58
1986,79
1987,182
1988,130
1989,116
1990,221
1991,143
1992,86.5
1993,58.5
1994,72.6
1995,72.5
1996,67.3
1997,62.3
1998,132.1
1999,83.2
2000,123.4
2001,112.9
2002,178.8
2003,78.5
2004,82.4
2005,80
2006,91
2007,118.4
2008,106.3
2009,51.4
2010,135.8
2011,46.8
2012,76.8
2013,90.7
2014,96.2
2015,47.3
2016,238.3
2017,136.7
2018,118.9
2019,73.5
2020,89.4
