UF,RJ
Cidade,CASIMIRO DE ABREU
Nome Posto,RIO DOURADO
Latitude,-22.47222222222222
Longitude,-42.08444444444444
Codigo,2242006
Qtd. Anos,54
Ano,Maxima
1967,88.6
1968,92
1969,150
1970,58
1971,125
1972,100
1973,150
1974,75
1975,190
1976,125
1977,78.6
1978,75.8
1979,125
1980,125
1981,75.6
1982,73
1983,74
1984,100
1985,100.6
1986,100.2
1987,100.4
1988,150
1989,100.2
1990,143.2
1991,100.4
1992,102.4
1993,100.5
1994,100
1995,100
1996,50.2
1997,107.3
1998,148.5
1999,72.4
2000,75.3
2001,95.2
2002,76.2
2003,123.2
2004,132.4
2005,194.5
2006,85.7
2007,175.4
2008,225.4
2009,308.4
2010,134.6
2011,160.5
2012,90.5
2013,203.8
2014,79.3
2015,120
2016,153
2017,84.4
2018,168.5
2019,101.6
2020,76.7
