UF,RJ
Cidade,SAO FIDELIS
Nome Posto,SAO FIDELIS
Latitude,-21.64527777777778
Longitude,-41.75222222222222
Codigo,2141005
Qtd. Anos,71
Ano,Maxima
1939,47
1940,78
1941,79
1942,67
1943,73
1944,52
1945,52
1946,68
1947,75
1948,65
1949,59
1950,79
1951,78
1952,55
1953,70
1954,58
1955,62
1956,52
1957,69.2
1958,66
1959,46
1960,59
1961,76
1962,86
1963,62
1964,52
1965,56
1966,50
1967,60
1968,58
1969,76
1970,82.2
1971,74.2
1972,96.6
1973,60.2
1974,100.2
1975,54.2
1976,58
1977,66.2
1989,67.5
1990,71
1991,78.3
1992,53
1993,62.1
1994,56.1
1995,80.6
1996,69.1
1997,51.9
1998,59.4
1999,94.7
2000,60.6
2001,53.8
2002,86
2003,134.9
2004,72.4
2005,76.9
2006,78.9
2007,106.7
2008,114.3
2009,120.5
2010,50.6
2011,67.4
2012,63.9
2013,66
2014,71
2015,60.2
2016,54
2017,46.3
2018,80.2
2019,74.6
2020,66.7
