UF,RJ
Cidade,SAO JOAO DA BARRA
Nome Posto,SAO FRANCISCO PAULA - CACIMBAS
Latitude,-21.482777777777777
Longitude,-41.10333333333333
Codigo,2141001
Qtd. Anos,48
Ano,Maxima
1972,86.6
1973,71.6
1974,72.4
1975,82.2
1976,63.2
1977,154.4
1978,63
1979,86.4
1980,53.4
1981,90.4
1983,62
1984,110.8
1985,58.4
1986,43.4
1987,92.6
1988,111.8
1989,52.4
1990,33
1991,101.4
1992,23
1993,59.2
1994,106
1995,54.4
1996,63
1997,50.8
1998,78
1999,105.2
2000,47.2
2001,50.7
2002,28.8
2003,70.2
2004,61.7
2005,94.1
2006,91
2007,116.9
2008,225.8
2009,84
2010,57
2011,40.7
2012,60
2013,71.5
2014,57.3
2015,43.7
2016,110
2017,50.2
2018,50
2019,92
2020,115
