UF,RJ
Cidade,SANTA MARIA MADALENA
Nome Posto,SANTA MARIA MADALENA
Latitude,-21.95
Longitude,-42.016666666666666
Codigo,2142051
Qtd. Anos,66
Ano,Maxima
1921,58.8
1925,54.2
1926,72.2
1927,62.6
1928,67.6
1929,63.2
1930,73.2
1932,68.4
1933,46
1934,66.2
1936,60.2
1937,75
1938,53.9
1939,63.5
1940,56
1941,66.4
1942,61.2
1943,75
1944,64.4
1945,64.3
1946,75
1947,56.8
1948,86
1949,96.4
1950,80.6
1951,49.2
1952,86.5
1953,86.4
1954,96.4
1955,52.1
1956,109.6
1957,87.8
1958,50
1959,41.6
1960,45.6
1961,146.8
1962,78
1963,37.6
1964,59.6
1965,82
1966,59.6
1967,99.6
1968,78.2
1969,67.6
1970,66
1975,59.5
1976,111.6
1977,138
1978,87.6
1979,12.6
1983,91.1
1984,74.1
1985,75.3
1986,47.3
1987,70.1
1988,54.2
1989,76.4
1990,39.3
1991,65.2
1992,98.2
1993,57.3
1994,78.4
1995,44.3
1996,87.4
1997,67.9
1998,74.2
