UF,RJ
Cidade,DUQUE DE CAXIAS
Nome Posto,XEREM  
Latitude,-22.583333333333332
Longitude,-43.3
Codigo,2243162
Qtd. Anos,48
Ano,Maxima
1923,66.2
1924,67
1925,74
1926,94.2
1927,121
1928,120.4
1929,132
1930,106.8
1931,97.8
1932,152.2
1933,170.4
1934,141.5
1935,192.2
1936,113
1937,102.3
1938,128.2
1939,100
1940,117.1
1941,104.4
1942,129.3
1943,174
1944,99.4
1945,162.2
1946,186.6
1947,224.6
1948,122.6
1949,98.8
1950,159.7
1951,110.2
1952,108.2
1953,126.6
1954,97.2
1955,184.5
1956,147.3
1957,97.3
1958,132.2
1959,137.7
1960,92.4
1961,111.1
1962,113
1963,83
1964,117.2
1965,92.1
1966,132
1967,108.4
1968,108
1969,72.4
1970,76.1
