UF,RJ
Cidade,SILVA JARDIM
Nome Posto,GAVIOES
Latitude,-22.54888888888889
Longitude,-42.54611111111111
Codigo,2242008
Qtd. Anos,54
Ano,Maxima
1967,67
1968,96
1969,86
1970,109
1971,114
1972,174
1973,104
1974,108.2
1975,147
1976,112
1977,75.8
1978,79
1979,114.4
1980,112
1981,143.4
1982,68.4
1983,112.4
1984,66.4
1985,142.4
1986,87.2
1987,108.4
1988,122
1989,777.7
1990,72.4
1991,135.4
1992,117
1993,101.2
1994,105.2
1995,62.4
1996,133.3
1997,97.4
1998,125.6
1999,88.8
2000,88.8
2001,158.8
2002,88.8
2003,88.8
2004,155.5
2005,100.8
2006,112.4
2007,63.7
2008,88.5
2009,155.8
2010,88.8
2011,66.6
2012,55.5
2013,148.7
2014,88.4
2015,88.8
2016,165.5
2017,88.8
2018,225.2
2019,63
2020,106.5
