UF,RJ
Cidade,CAMPO DOS GOYTACAZES
Nome Posto,CARDOSO MOREIRA
Latitude,-21.487222222222222
Longitude,-41.61361111111111
Codigo,2141003
Qtd. Anos,82
Ano,Maxima
1939,77.9
1940,47.7
1941,45.8
1942,140.8
1943,88.5
1944,48.6
1945,48.4
1946,69.3
1947,106.6
1948,91.4
1949,50.6
1950,48.6
1951,86.6
1952,84.7
1953,63.3
1954,61.2
1955,43.9
1956,91.6
1957,115
1958,56.6
1959,54.2
1960,61
1961,49
1962,52.4
1963,35.4
1964,58
1965,80
1966,63
1967,137
1968,53.4
1969,65.4
1970,59.8
1971,70.6
1972,57.4
1973,58.6
1974,31.6
1975,58.6
1976,59.6
1977,114.4
1978,42.2
1979,82.4
1980,40.2
1981,66.8
1982,74
1983,62.2
1984,68.4
1985,74.2
1986,63.8
1987,52.2
1988,64.6
1989,69.6
1990,52.2
1991,64.8
1992,98.7
1993,88.3
1994,72.5
1995,69.7
1996,79.8
1997,71.8
1998,53.5
1999,93.2
2000,83.2
2001,63.7
2002,76.8
2003,64.6
2004,57.5
2005,96.6
2006,53.6
2007,78.3
2008,75.2
2009,113.3
2010,68.7
2011,117.2
2012,62.1
2013,73.1
2014,68.5
2015,38.8
2016,51.8
2017,63.2
2018,57.6
2019,71.5
2020,104
