UF,RJ
Cidade,CACHOEIRAS DE MACACU
Nome Posto,FAZENDA DO CARMO
Latitude,-22.439722222222223
Longitude,-42.76361111111111
Codigo,2242013
Qtd. Anos,54
Ano,Maxima
1967,50
1968,83.4
1969,71.4
1970,75.4
1971,99.6
1972,84.4
1973,98
1974,110.2
1975,75
1976,97.4
1977,94
1978,124.8
1979,102.8
1980,80.6
1981,122.7
1982,78.8
1983,65.5
1984,78.3
1985,125.4
1986,145.2
1987,50.8
1988,135.1
1989,113.4
1990,146.2
1991,148.2
1992,98.7
1993,86
1994,131.8
1995,80.6
1996,85.4
1997,70.4
1998,145.1
1999,56.5
2000,68.5
2001,55.5
2002,86
2003,103.1
2004,140.1
2005,79.3
2006,100.2
2007,103.5
2008,71
2009,216
2010,151.1
2011,78.2
2012,88.8
2013,122.7
2014,96.1
2015,58.6
2016,105.6
2017,97.2
2018,111.2
2019,120
2020,81.3
