UF,RJ
Cidade,TRES RIOS
Nome Posto,MOURA BRASIL
Latitude,-22.140277777777776
Longitude,-43.15416666666667
Codigo,2243015
Qtd. Anos,85
Ano,Maxima
1936,34.3
1937,122
1938,95.1
1939,80.3
1940,78.1
1941,54.3
1942,49.1
1943,73.5
1944,92.3
1945,73
1946,76
1947,88
1948,62.1
1949,92
1950,53
1951,51
1952,98
1953,66
1954,81
1955,74
1956,63
1957,84
1958,83
1959,56
1960,82
1961,70
1962,52
1963,65
1964,63
1965,73
1966,98
1967,132
1968,96
1969,76
1970,46.1
1971,77
1972,78
1973,49
1974,98
1975,97.6
1976,73.2
1977,75.8
1978,75
1979,66.4
1980,65.1
1981,45.1
1982,49.3
1983,71.1
1984,42
1985,93.4
1986,70.3
1987,67
1988,84
1989,101.7
1990,93
1991,95
1992,120
1993,88
1994,86.4
1995,79.2
1996,63.2
1997,90
1998,57.9
1999,50.2
2000,55.6
2001,94.6
2002,85.4
2003,57.2
2004,63.7
2005,89
2006,60.9
2007,81.4
2008,61.7
2009,156.9
2010,67.3
2011,66.7
2012,157
2013,56
2014,110
2015,72.5
2016,102.5
2017,76.8
2018,76
2019,74.3
2020,45.7
