UF,RJ
Cidade,PETROPOLIS
Nome Posto,RIO DA CIDADE
Latitude,-22.438055555555557
Longitude,-43.17027777777778
Codigo,2243011
Qtd. Anos,83
Ano,Maxima
1938,99.7
1939,63.9
1940,89.8
1941,77.5
1942,81.4
1943,134.3
1944,75
1945,126
1946,106.5
1947,143
1948,116
1949,102.2
1950,84.5
1951,86
1952,81.8
1953,42.1
1954,50
1955,86
1956,66.1
1957,72.6
1958,62
1959,63.9
1960,73.2
1961,120.1
1962,68.2
1963,47
1964,85.3
1965,129.2
1966,120.4
1967,84.2
1968,85.5
1969,88
1970,79.8
1971,52.2
1972,67.5
1973,68
1974,49.9
1975,82
1976,72.5
1977,82
1978,121.2
1979,60.8
1980,96.6
1981,120.1
1982,89
1983,79
1984,45.3
1985,58
1986,93.1
1987,74.1
1988,67.5
1989,57.2
1990,62
1991,104.8
1992,89.6
1993,60.1
1994,185.8
1995,80.7
1996,98.9
1997,78.5
1998,79.4
1999,66.2
2000,141.6
2001,97.8
2002,64.4
2003,105.2
2004,93.6
2005,129.9
2006,55.9
2007,160.4
2008,54.1
2009,79.3
2010,60.6
2011,87.2
2012,103.3
2013,92.4
2014,90
2015,59.2
2016,141.3
2017,122
2018,59.3
2019,58.3
2020,85.2
