UF,RJ
Cidade,TERESOPOLIS
Nome Posto,BOM SUCESSO
Latitude,-22.27138888888889
Longitude,-42.79472222222222
Codigo,2242026
Qtd. Anos,56
Ano,Maxima
1965,53.8
1966,81.4
1967,67.8
1968,64.8
1969,45.2
1970,53.8
1971,67.8
1972,71.3
1973,70.8
1974,50.9
1975,55.8
1976,90.1
1977,81.9
1978,101.7
1979,75.8
1980,71.2
1981,70.8
1982,102.7
1983,58.7
1984,36.2
1985,55.4
1986,49.2
1987,65.8
1988,80.8
1989,54.4
1990,99.1
1991,69.1
1992,91.6
1993,48.8
1994,64.6
1995,39.9
1996,55.9
1997,66.8
1998,82.6
1999,51.6
2000,61.5
2001,63.2
2002,84.3
2003,51.1
2004,61.3
2005,78.8
2006,57.2
2007,100.5
2008,46.1
2009,69.1
2010,80.3
2011,60.7
2012,72.2
2013,45.4
2014,54.3
2015,76.7
2016,85.7
2017,71.2
2018,69.5
2019,53.7
2020,65.3
