UF,RJ
Cidade,PETROPOLIS
Nome Posto,PEDRO DO RIO
Latitude,-22.3325
Longitude,-43.13611111111111
Codigo,2243012
Qtd. Anos,83
Ano,Maxima
1938,50.5
1939,50.4
1940,88
1941,73
1942,78
1943,120.2
1944,85
1945,98
1946,89.2
1947,91.8
1948,90.2
1949,58.4
1950,46.4
1951,93.8
1952,85.2
1953,58.6
1954,43
1955,103.4
1956,75
1957,43.6
1958,48.4
1959,53
1960,74
1961,52
1962,57.8
1963,61.4
1964,55.2
1965,95.2
1966,75.2
1967,88
1968,79.8
1969,73.8
1970,57.2
1971,53.2
1972,53.2
1973,53.2
1974,67.2
1975,88.4
1976,78.2
1977,69.2
1978,122.2
1979,68.4
1980,68.8
1981,86.2
1982,67.6
1983,84.2
1984,48
1985,62.8
1986,124.2
1987,74.2
1988,74.4
1989,93
1990,98.2
1991,77.2
1992,89.2
1993,56
1994,104.8
1995,56.4
1996,165.5
1997,66.4
1998,76.5
1999,74.1
2000,90
2001,92.4
2002,56.9
2003,102.1
2004,65.1
2005,44.8
2006,44.3
2007,92.2
2008,64.7
2009,77.8
2010,64.5
2011,77.1
2012,83.3
2013,59.7
2014,64.1
2015,70
2016,178.3
2017,65.5
2018,58
2019,66.3
2020,51.9
