UF,RJ
Cidade,BARRA MANSA
Nome Posto,UHE FUNIL JUSANTE 2
Latitude,-22.5375
Longitude,-44.17583333333333
Codigo,2244042
Qtd. Anos,77
Ano,Maxima
1940,42
1941,78.3
1942,66.2
1943,126.6
1944,55.2
1945,98
1946,59.2
1947,75
1948,53.2
1949,108.4
1950,100
1951,56
1952,74
1953,56.6
1954,66
1955,135.4
1956,89.4
1957,58
1958,56
1959,152.6
1960,76
1961,65.4
1962,75
1963,75
1964,50.2
1965,70
1966,61.2
1967,188.6
1968,71.8
1969,100
1970,59
1971,56.4
1972,84.6
1973,78.4
1974,37.8
1975,57.8
1976,47.8
1977,102.2
1978,57.8
1979,64.4
1980,61.8
1981,138
1982,64.8
1983,78
1984,48
1985,73.4
1986,77.5
1987,78
1988,71.2
1989,57
1990,70.8
1991,118.3
1992,120.2
1993,63.9
1994,86.6
1995,67.3
1996,73.9
1997,82.3
1998,71.9
1999,62.9
2000,138
2001,72
2002,58.2
2003,117.5
2004,110.2
2005,79.8
2006,69.9
2007,61.1
2008,86.7
2009,54.1
2010,85.5
2011,44.9
2012,65.8
2013,72.6
2014,57.4
2015,85.4
2016,54.4
