UF,RJ
Cidade,SANTO ANTONIO DE PADUA
Nome Posto,SANTO ANTONIO DE PADUA
Latitude,-21.541944444444447
Longitude,-42.1825
Codigo,2142058
Qtd. Anos,55
Ano,Maxima
1966,53
1967,86.5
1968,73
1969,93
1970,60
1971,73.5
1972,66.3
1973,70.1
1974,74.6
1975,107.8
1976,131.8
1977,69.6
1978,61.8
1979,82.4
1980,144.8
1981,93.8
1982,61.4
1983,82.2
1984,85
1985,82
1986,92.2
1987,109.6
1988,61.8
1989,81.2
1990,41.9
1991,82.5
1992,110
1993,56.7
1994,50.3
1995,71.3
1996,86
1997,82
1998,74.6
1999,106
2000,149
2001,128.4
2002,99.7
2003,58.3
2004,87.4
2005,81.6
2006,52.8
2007,76.5
2008,108.5
2009,126.8
2010,91.8
2011,92.1
2012,69.5
2013,100.7
2014,119.1
2015,88.9
2016,60.4
2017,97.8
2018,81.3
2019,53.6
2020,41.4
