UF,RJ
Cidade,ITAPERUNA
Nome Posto,ITAPERUNA
Latitude,-21.20638888888889
Longitude,-41.89111111111111
Codigo,2141004
Qtd. Anos,76
Ano,Maxima
1942,66.2
1943,75.6
1944,73.3
1945,71
1946,73.2
1947,62.4
1948,74.5
1949,80
1950,76.6
1951,100
1952,54.7
1953,74.2
1954,86.5
1955,69.2
1956,95.3
1957,71.3
1958,126.3
1959,79
1960,99
1961,69
1962,55
1963,48
1964,85
1965,97
1966,61
1967,50
1968,66
1969,118
1970,62
1971,73
1972,88
1973,90.9
1974,66
1975,80.5
1976,70.2
1977,75
1978,110.3
1979,82
1980,59
1981,60
1985,60.4
1986,86.6
1987,74.7
1988,99
1989,124
1990,60.4
1991,128.4
1992,87.7
1993,85.4
1994,116.8
1995,50.3
1996,111.6
1997,225.5
1998,60
1999,90.5
2000,192
2001,48.6
2002,66.5
2003,86.5
2004,91.5
2005,83
2006,60.5
2007,103
2008,95
2009,135
2010,76.4
2011,54.9
2012,98.7
2013,70.6
2014,48.2
2015,58.5
2016,75.1
2017,52.6
2018,76.4
2019,95.4
2020,68.8
