UF,RJ
Cidade,RIO DAS FLORES
Nome Posto,MANUEL DUARTE
Latitude,-22.085833333333333
Longitude,-43.556666666666665
Codigo,2243008
Qtd. Anos,79
Ano,Maxima
1942,38.3
1943,61
1944,56.2
1945,87
1946,67.7
1947,71
1948,75.2
1949,51.8
1950,51
1951,30.6
1952,32
1953,113.8
1954,89
1955,87
1956,75
1957,139
1958,90.2
1959,60.8
1960,53
1961,88.8
1962,76.4
1963,56.4
1964,56.8
1965,86.4
1966,76.2
1967,101.4
1968,78
1969,65.8
1970,43.4
1971,58
1972,85
1973,85.6
1974,90
1975,52
1976,45.7
1977,87
1978,82.6
1979,96.4
1980,74.6
1981,54
1982,93.8
1983,71
1984,53.3
1985,74.3
1986,67.3
1987,54.1
1988,76
1989,60.2
1990,58.8
1991,53
1992,80.8
1993,69
1994,86
1995,60.7
1996,72.7
1997,46.2
1998,57.3
1999,50.5
2000,56.2
2001,77.4
2002,52.3
2003,63.5
2004,75.5
2005,65.3
2006,54.3
2007,65.3
2008,136.4
2009,88.7
2010,82.7
2011,65.7
2012,53.2
2013,80.7
2014,61.2
2015,76.1
2016,82.6
2017,72.5
2018,83.7
2019,64.2
2020,52.5
