UF,RJ
Cidade,PORCIUNCULA
Nome Posto,PORCIUNCULA
Latitude,-20.969166666666666
Longitude,-42.05166666666666
Codigo,2042027
Qtd. Anos,82
Ano,Maxima
1939,54
1940,104
1941,58.2
1942,75.6
1943,64.6
1944,58
1945,60.4
1946,70.3
1947,86.4
1948,47
1949,112.8
1950,63.2
1951,49.6
1952,44.4
1953,66.2
1954,63.4
1955,98.4
1956,61.2
1957,80
1958,59.8
1959,95.8
1960,109.4
1961,106.6
1962,72.8
1963,52.2
1964,61.2
1965,87.8
1966,61
1967,105
1968,50
1969,65
1970,71
1971,96
1972,77.8
1973,73
1974,89
1975,97.4
1976,68
1977,152.8
1978,66
1979,108.8
1980,67
1981,84
1982,79
1983,89.6
1984,93.2
1985,63.2
1986,55
1987,80
1988,75
1989,76
1990,59.8
1991,93.4
1992,62
1993,73.3
1994,114.1
1995,68.6
1996,82.4
1997,93.2
1998,68.6
1999,109.5
2000,66.8
2001,101
2002,91.5
2003,108.5
2004,62.3
2005,76.8
2006,99.6
2007,73.5
2008,128.1
2009,70.4
2010,116.7
2011,69.6
2012,109.3
2013,94.5
2014,130.4
2015,63.7
2016,72.9
2017,120
2018,65
2019,82.8
2020,40
