UF,RJ
Cidade,CACHOEIRAS DE MACACU
Nome Posto,JAPUIBA
Latitude,-22.55638888888889
Longitude,-42.69
Codigo,2242014
Qtd. Anos,54
Ano,Maxima
1967,58.3
1968,69.3
1969,86
1970,108
1971,84
1972,86.2
1973,87.2
1974,59
1975,78
1976,85.4
1977,85
1978,100
1979,81
1980,91
1981,106
1982,69.5
1983,69.5
1984,63
1985,95
1986,98.5
1987,125
1988,84
1989,104
1990,96
1991,108
1992,108
1993,96.4
1994,110
1995,102
1996,132
1997,97.2
1998,168
1999,101.2
2000,75.1
2001,104.6
2002,87.8
2003,442
2004,126.6
2005,96.7
2006,68.8
2007,98.3
2008,113.2
2009,95.6
2010,92.6
2011,108.5
2012,80
2013,148.9
2014,114.5
2015,70.2
2016,84.1
2017,72.6
2018,104.6
2019,90.8
2020,80.8
