UF,RJ
Cidade,SILVA JARDIM
Nome Posto,QUARTEIS
Latitude,-22.46722222222222
Longitude,-42.30722222222222
Codigo,2242007
Qtd. Anos,54
Ano,Maxima
1967,70.4
1968,63.6
1969,109.2
1970,88.2
1971,107.4
1972,100.8
1973,138.4
1974,116.8
1975,107.2
1976,135.8
1977,142.6
1978,127.6
1979,143.4
1980,129.6
1981,202.8
1982,143.4
1983,131.2
1984,79.2
1985,84.8
1986,106.9
1987,98.4
1988,182.8
1989,146.2
1990,146.3
1991,145.8
1992,150.3
1993,147.9
1994,156.3
1995,140.4
1996,125.8
1997,102
1998,382.2
1999,78.4
2000,153.1
2001,167.8
2002,210.6
2003,113.7
2004,192.3
2005,189.2
2006,147.5
2007,139.1
2008,114.7
2009,273.7
2010,180.3
2011,104.3
2012,118.2
2013,140
2014,97.3
2015,104
2016,101.1
2017,89.4
2018,150
2019,200
2020,116.2
