UF,RJ
Cidade,MACAE
Nome Posto,FAZENDA ORATORIO
Latitude,-22.259166666666665
Longitude,-41.98416666666667
Codigo,2241004
Qtd. Anos,54
Ano,Maxima
1967,54.8
1968,62.1
1969,60
1970,57.4
1971,110.4
1972,125.7
1973,113.6
1974,96
1975,65.8
1976,141.1
1977,72.1
1978,71
1979,100.6
1980,71
1981,76
1982,100
1983,96
1984,72.6
1985,63
1986,92.2
1987,96
1988,130
1989,142.6
1990,163.6
1991,76
1992,113.4
1993,87
1994,120
1995,65
1996,98.3
1997,100
1998,150
1999,72.3
2000,110
2001,88.2
2002,95.4
2003,62.4
2004,115.8
2005,75.2
2006,79.2
2007,125.8
2008,175.9
2009,126.2
2010,121.5
2011,47.5
2012,74.1
2013,160.4
2014,135.5
2015,91
2016,107.6
2017,65
2018,191.5
2019,84.8
2020,58.1
