UF,RJ
Cidade,CANTAGALO
Nome Posto,ALDEIA
Latitude,-21.95138888888889
Longitude,-42.35611111111111
Codigo,2142022
Qtd. Anos,81
Ano,Maxima
1939,87.2
1940,80.5
1941,61.6
1942,63.2
1943,64.7
1944,49.3
1945,67.8
1946,106
1947,60.3
1948,70.3
1949,61.2
1950,64.1
1951,69.5
1952,82.4
1953,60.7
1954,63.1
1955,52.6
1956,109.4
1957,86.1
1958,91.3
1959,54.2
1960,60.2
1961,75.2
1962,63.5
1963,58.4
1964,80.4
1965,45.8
1966,70.2
1967,105.2
1968,75.2
1969,63.2
1970,42.8
1971,64.2
1972,68.4
1973,80.3
1974,40.2
1975,54.3
1976,63
1977,50.8
1978,140
1979,86
1980,122
1981,63
1982,54.2
1983,84.4
1984,99.8
1985,88
1986,60
1987,60
1988,71.4
1989,777.7
1990,55.2
1991,66.4
1992,105
1993,79.7
1994,70
1995,58.4
1996,103.2
1997,105.8
1998,44.6
1999,63.2
2000,55.2
2001,75.1
2002,120.9
2003,54.3
2004,81
2005,93
2006,75
2007,150.5
2008,76.1
2009,72.9
2010,60
2011,101
2012,56.1
2013,61.4
2014,39
2015,37.4
2016,63.2
2017,34.7
2018,65.9
2019,13.5
