UF,RJ
Cidade,CARMO
Nome Posto,PAQUEQUER
Latitude,-21.870833333333334
Longitude,-42.640277777777776
Codigo,2142014
Qtd. Anos,64
Ano,Maxima
1956,100.4
1957,140.6
1958,70
1959,45.2
1960,75
1961,125
1962,75
1963,60.2
1964,75
1965,75
1966,75
1967,70.5
1968,78
1969,84.4
1970,50.6
1971,69.6
1972,91.4
1973,67.2
1974,76.8
1975,51.2
1976,86.8
1977,52.2
1978,82.6
1979,93.9
1980,98.2
1981,124.6
1982,77.4
1983,70
1984,23
1985,27
1986,43.8
1987,15.2
1988,28
1989,57
1990,38.6
1991,53.9
1992,18.7
1993,14.6
1994,60
1995,37.2
1996,74
1997,88
1998,59.6
1999,38
2000,58.3
2001,45.7
2002,48.2
2003,99.4
2004,35.4
2005,57.7
2006,70.7
2007,35.6
2008,75.9
2009,76.4
2010,111.5
2011,66.8
2012,96.5
2013,189.1
2014,42.3
2015,53.2
2016,68.2
2017,50.6
2018,97.2
2019,112
