UF,RJ
Cidade,TERESOPOLIS
Nome Posto,TERESOPOLIS
Latitude,-22.45
Longitude,-42.93333333333333
Codigo,2242072
Qtd. Anos,85
Ano,Maxima
1913,77
1914,91.8
1915,68.4
1916,66
1917,68.2
1918,66.7
1919,149.2
1920,150
1921,70.2
1922,249.3
1923,149
1924,86
1925,76.8
1926,68
1927,80.5
1928,57.8
1929,84.8
1930,72.3
1931,80
1932,71.6
1933,85.8
1934,91.6
1935,98.4
1936,62.2
1937,127
1938,68
1939,69.6
1940,61.2
1941,71.9
1942,46.3
1943,79.3
1944,79.1
1945,79.4
1946,103.2
1947,109.7
1948,73.4
1949,59.6
1950,92
1951,65.5
1952,101.9
1953,56.8
1954,52.3
1955,78.7
1956,78.4
1957,61.1
1958,121.4
1959,68.9
1960,59.8
1961,87.7
1962,74.6
1963,46.2
1964,57.2
1965,71.2
1966,134.1
1967,166.1
1968,87.2
1969,58.7
1970,65.7
1979,140
1980,60
1981,86.2
1982,60.5
1983,55.3
1984,40.9
1985,67.5
1986,61.9
1987,56.5
1992,71.2
1993,134
1994,31.4
1995,104.2
1996,37
1997,48
1998,63.4
2002,145.4
2003,80.8
2004,72.4
2005,77
2006,125.1
2007,83.4
2008,106.8
2009,74.8
2010,104.6
2011,124.6
2012,194
