UF,RJ
Cidade,VALENCA
Nome Posto,SANTA ISABEL DO RIO PRETO
Latitude,-22.231111111111108
Longitude,-44.06472222222222
Codigo,2244033
Qtd. Anos,79
Ano,Maxima
1942,65.3
1943,90.2
1944,70
1945,87.9
1946,90
1947,100.1
1948,142.1
1949,66.8
1950,100.4
1951,186.8
1952,110.4
1953,50.2
1954,93.8
1955,98.2
1956,107.2
1957,75
1958,55.8
1959,85
1960,55.6
1961,114.2
1962,72
1963,89.2
1964,58.6
1965,69.4
1966,82.4
1967,63.4
1968,81.8
1969,89.6
1970,54.1
1971,60
1972,136
1973,80
1974,88.5
1975,96
1976,88.8
1977,104
1978,92
1979,96
1980,48.6
1981,82
1982,97
1983,90
1984,61.6
1985,139.4
1986,111
1987,62.8
1988,148
1989,85
1990,72.4
1991,79
1992,97.1
1993,64.2
1994,80
1995,91.8
1996,85.3
1997,80.7
1998,59.5
1999,62.1
2000,60.1
2001,63.2
2002,38
2003,115.7
2004,69.5
2005,70.5
2006,84.2
2007,80.6
2008,58.2
2009,62.2
2010,107.2
2011,96.7
2012,59.4
2013,66.3
2014,61.1
2015,68.2
2016,59.2
2017,66.8
2018,65.9
2019,62.8
2020,48.8
