UF,RJ
Cidade,NATIVIDADE
Nome Posto,VARRE - SAI
Latitude,-20.93138888888889
Longitude,-41.867777777777775
Codigo,2041046
Qtd. Anos,54
Ano,Maxima
1967,64.6
1968,61.2
1969,91.6
1970,68
1971,73.2
1972,86.4
1973,75
1974,97.3
1975,67.6
1976,77
1977,73.8
1978,94.3
1979,110
1980,65.2
1981,56.2
1982,81.3
1983,97
1984,105
1985,77
1986,56.1
1987,102
1988,75
1989,85.4
1990,64
1991,60
1992,54.8
1993,108
1994,55
1995,33.3
1996,26.2
1997,112
1998,78.4
1999,77.8
2000,103
2001,70
2002,74
2003,125.5
2004,67.1
2005,78.7
2006,78.4
2007,96.4
2008,88.9
2009,110.8
2010,89.3
2011,56.4
2012,66.3
2013,111.8
2014,58.3
2015,58.9
2016,87.6
2017,59.8
2018,82.8
2019,100.8
2020,71.3
