UF,RJ
Cidade,NOVA FRIBURGO
Nome Posto,TEODORO DE OLIVEIRA
Latitude,-22.377222222222223
Longitude,-42.55166666666666
Codigo,2242024
Qtd. Anos,56
Ano,Maxima
1965,211
1966,122
1967,100
1968,102.2
1969,84.6
1970,65.6
1971,93.4
1972,74.2
1973,136.4
1974,125.6
1975,75.6
1976,138.4
1977,107.8
1978,123.8
1979,80.2
1980,125.6
1981,134.2
1982,99
1983,83
1984,113
1985,137
1986,116
1987,99.4
1988,98.2
1989,89.4
1990,77
1991,128
1992,98
1993,91
1994,112
1995,102.5
1996,126.8
1997,126.3
1998,135.4
1999,136.6
2000,139.4
2001,88.7
2002,99.7
2003,118.5
2004,128.7
2005,166.4
2006,128.8
2007,127.4
2008,106.4
2009,179.4
2010,138.4
2011,126.4
2012,107.4
2013,222.8
2014,126.8
2015,157.6
2016,206.8
2017,100.8
2018,139.8
2019,113.3
2020,85.3
